Date,Short-term treasury index,US TIPS 0-5 Years,US TIPS 1-5 years,US Treasury Inflation Notes 1-10 Years,US Aggregate 10 or 10+ Years,US Aggregate,US Corporate HY,US Corporate IG,US Treasury,CHF,Gold,JPY,US treasury 1-3 Year,US Treasury 20+ Years,US Treasury 10+ Years
1969-12-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-03-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-04-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-05-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-06-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-07-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-08-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-09-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-11-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-12-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971-02-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971-03-01,0.7707736389684814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461318051575932,0.0,0.11461318051575932,0.0,0.0,0.0
1971-04-01,0.7707736389684814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461318051575932,0.0,0.11461318051575932,0.0,0.0,0.0
1971-05-01,0.7707736389684814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461318051575932,0.0,0.11461318051575932,0.0,0.0,0.0
1971-06-01,0.780040733197556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10997963340122197,0.0,0.10997963340122197,0.0,0.0,0.0
1971-07-01,0.780040733197556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10997963340122197,0.0,0.10997963340122197,0.0,0.0,0.0
1971-08-01,0.7800407331975561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10997963340122198,0.0,0.10997963340122198,0.0,0.0,0.0
1971-09-01,0.8567279767666989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07163601161665054,0.0,0.07163601161665054,0.0,0.0,0.0
1971-10-01,0.8567279767666989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07163601161665054,0.0,0.07163601161665054,0.0,0.0,0.0
1971-11-01,0.8567279767666989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07163601161665054,0.0,0.07163601161665054,0.0,0.0,0.0
1971-12-01,0.8567279767666989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07163601161665054,0.0,0.07163601161665054,0.0,0.0,0.0
1972-01-01,0.8567279767666989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07163601161665054,0.0,0.07163601161665054,0.0,0.0,0.0
1972-02-01,0.8567279767666989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07163601161665054,0.0,0.07163601161665054,0.0,0.0,0.0
1972-03-01,0.7707736389684814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461318051575932,0.0,0.11461318051575932,0.0,0.0,0.0
1972-04-01,0.7707736389684814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461318051575932,0.0,0.11461318051575932,0.0,0.0,0.0
1972-05-01,0.7707736389684814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11461318051575932,0.0,0.11461318051575932,0.0,0.0,0.0
1972-06-01,0.7315436241610738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13422818791946314,0.0,0.13422818791946314,0.0,0.0,0.0
1972-07-01,0.7315436241610738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13422818791946314,0.0,0.13422818791946314,0.0,0.0,0.0
1972-08-01,0.7315436241610738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13422818791946314,0.0,0.13422818791946314,0.0,0.0,0.0
1972-09-01,0.89247311827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05376344086021504,0.0,0.05376344086021504,0.0,0.0,0.0
1972-10-01,0.89247311827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05376344086021504,0.0,0.05376344086021504,0.0,0.0,0.0
1972-11-01,0.89247311827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05376344086021505,0.0,0.05376344086021505,0.0,0.0,0.0
1972-12-01,0.7315436241610738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13422818791946314,0.0,0.13422818791946314,0.0,0.0,0.0
1973-01-01,0.7315436241610738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13422818791946314,0.0,0.13422818791946314,0.0,0.0,0.0
1973-02-01,0.7315436241610738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13422818791946314,0.0,0.13422818791946314,0.0,0.0,0.0
1973-03-01,0.11690140845070425,0.0,0.0,0.0,0.0,0.0,0.0,0.5049295774647888,0.0,0.019014084507042256,0.0,0.019014084507042256,0.0,0.0,0.3401408450704225
1973-04-01,0.11690140845070425,0.0,0.0,0.0,0.0,0.0,0.0,0.5049295774647888,0.0,0.019014084507042256,0.0,0.019014084507042256,0.0,0.0,0.3401408450704225
1973-05-01,0.11690140845070426,0.0,0.0,0.0,0.0,0.0,0.0,0.5049295774647888,0.0,0.019014084507042256,0.0,0.019014084507042256,0.0,0.0,0.3401408450704225
